Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
32	Aron Baynes\baynear01	C	33	PHO	42	28	22.2	4.4	9.1	0.48	1.4	4	0.351	3	5.1	0.582	0.558	1.3	1.8	0.747	1.7	4	5.6	1.6	0.2	0.5	1.2	3.4	11.5
33	Kent Bazemore\bazemke01	SF	30	TOT	68	21	24.8	2.9	7.9	0.375	1.2	3.6	0.344	1.7	4.3	0.4	0.453	1.7	2.2	0.769	0.4	3.9	4.3	1.4	1.1	0.6	1.3	2.9	8.8
33	Kent Bazemore\bazemke01	SF	30	POR	43	21	25.8	2.6	7.6	0.347	1.3	4	0.327	1.3	3.6	0.368	0.433	1.3	1.7	0.806	0.3	3.7	4	1.4	1	0.7	1.4	2.8	7.9
33	Kent Bazemore\bazemke01	SF	30	SAC	25	0	23.1	3.5	8.3	0.418	1.1	2.9	0.384	2.4	5.4	0.437	0.486	2.2	3	0.733	0.6	4.3	4.9	1.3	1.2	0.4	1.2	3	10.3
34	Darius Bazley\bazleda01	PF	19	OKC	61	9	18.5	2	5.2	0.394	0.8	2.3	0.348	1.2	2.9	0.432	0.472	0.7	1	0.694	0.5	3.5	4	0.7	0.4	0.7	0.7	0.9	5.6
35	Bradley Beal\bealbr01	SG	26	WAS	57	57	36	10.4	22.9	0.455	3	8.4	0.353	7.4	14.4	0.515	0.52	6.8	8	0.842	0.9	3.3	4.2	6.1	1.2	0.4	3.4	2.2	30.5
36	Malik Beasley\beaslma01	SG	23	TOT	55	14	22	4.1	9.7	0.425	1.9	5	0.388	2.2	4.7	0.465	0.525	1	1.2	0.818	0.3	2.4	2.7	1.4	0.7	0.1	1	1.4	11.2
36	Malik Beasley\beaslma01	SG	23	DEN	41	0	18.2	2.9	7.3	0.389	1.4	3.9	0.36	1.4	3.4	0.421	0.485	0.8	0.9	0.868	0.2	1.7	1.9	1.2	0.8	0.1	0.9	1.2	7.9
36	Malik Beasley\beaslma01	SG	23	MIN	14	14	33.1	7.9	16.6	0.472	3.5	8.2	0.426	4.4	8.4	0.517	0.577	1.5	2	0.75	0.6	4.4	5.1	1.9	0.6	0.1	1.5	1.9	20.7
37	Marco Belinelli\belinma01	SG	33	SAS	57	0	15.5	2.2	5.5	0.392	1.2	3.1	0.376	1	2.4	0.412	0.498	0.8	1	0.828	0.1	1.6	1.7	1.2	0.2	0	0.3	0.8	6.3
38	Jordan Bell\belljo01	C	25	TOT	29	0	8.8	1.2	2.3	0.522	0.1	0.4	0.333	1.1	1.9	0.564	0.552	0.7	1.1	0.613	1	1.8	2.8	0.6	0.1	0.3	0.7	0.7	3.2
38	Jordan Bell\belljo01	C	25	MIN	27	0	8.7	1.2	2.2	0.533	0.1	0.3	0.222	1.1	1.9	0.588	0.55	0.6	1.1	0.586	1	1.9	2.9	0.5	0.1	0.4	0.7	0.6	3.1
38	Jordan Bell\belljo01	C	25	MEM	2	0	10.5	1.5	3.5	0.429	1	1.5	0.667	0.5	2	0.25	0.571	1	1	1	1	0.5	1.5	1	0.5	0	1.5	1	5
39	DeAndre' Bembry\bembrde01	SG	25	ATL	43	4	21.3	2.4	5.3	0.456	0.3	1.5	0.231	2.1	3.8	0.546	0.489	0.6	1.1	0.542	0.8	2.7	3.5	1.9	1.3	0.4	1.4	2	5.8
40	Dragan Bender\bendedr01	PF-C	22	TOT	16	3	17.9	2.6	5.8	0.446	0.9	2.7	0.349	1.6	3.1	0.531	0.527	0.6	0.9	0.714	1	3.6	4.6	1.8	0.3	0.6	1.3	2.6	6.7
40	Dragan Bender\bendedr01	C	22	MIL	7	0	13	1.4	3	0.476	0.6	1.3	0.444	0.9	1.7	0.5	0.571	0.3	0.4	0.667	0	2.9	2.9	1.3	0	0.7	0.7	2.3	3.7
40	Dragan Bender\bendedr01	PF	22	GSW	9	3	21.7	3.4	7.9	0.437	1.2	3.8	0.324	2.2	4.1	0.541	0.514	0.9	1.2	0.727	1.8	4.1	5.9	2.1	0.4	0.4	1.8	2.9	9
41	Dāvis Bertāns\bertada01	PF	27	WAS	54	4	29.3	4.9	11.3	0.434	3.7	8.7	0.424	1.2	2.6	0.471	0.598	1.9	2.3	0.852	0.6	3.9	4.5	1.7	0.7	0.6	1.1	2.6	15.4
42	Patrick Beverley\beverpa01	PG	31	LAC	51	50	26.3	2.9	6.7	0.431	1.6	4	0.388	1.3	2.6	0.496	0.548	0.6	0.9	0.66	1.1	4.1	5.2	3.6	1.1	0.5	1.3	3.1	7.9
43	Khem Birch\birchkh01	C	27	ORL	48	24	19.2	1.5	3	0.51	0	0	0	1.5	3	0.514	0.51	1.4	2.1	0.653	1.9	2.7	4.6	1	0.4	0.5	0.6	1.9	4.4
44	Goga Bitadze\bitadgo01	C	20	IND	54	2	8.7	1.3	2.8	0.467	0.1	0.8	0.19	1.1	2	0.574	0.493	0.4	0.6	0.727	0.5	1.5	2	0.4	0.2	0.7	0.5	1.2	3.2
45	Bismack Biyombo\biyombi01	C	27	CHO	53	29	19.4	2.8	5.2	0.543	0	0		2.8	5.2	0.543	0.543	1.7	2.8	0.603	2.3	3.5	5.8	0.9	0.2	0.9	0.9	2.2	7.4
46	Nemanja Bjelica\bjeline01	PF	31	SAC	72	67	27.9	4.4	9.1	0.481	1.9	4.4	0.419	2.5	4.6	0.541	0.583	1	1.2	0.821	1.5	4.8	6.4	2.8	0.9	0.6	1.4	3	11.5
47	Eric Bledsoe\bledser01	PG	30	MIL	61	61	27	5.5	11.5	0.475	1.2	3.5	0.344	4.3	8	0.533	0.528	2.8	3.5	0.79	0.7	3.9	4.6	5.4	0.9	0.4	2.4	2.1	14.9
48	Bogdan Bogdanović\bogdabo01	SG	27	SAC	61	28	29	5.5	12.6	0.44	2.7	7.2	0.372	2.8	5.3	0.532	0.547	1.4	1.9	0.741	0.4	3	3.4	3.4	1	0.2	1.7	2.2	15.1
49	Bojan Bogdanović\bogdabo02	SF	30	UTA	63	63	33.1	6.6	14.8	0.447	3	7.3	0.414	3.6	7.6	0.479	0.548	4	4.4	0.903	0.6	3.5	4.1	2.1	0.5	0.1	2.5	1.7	20.2
50	Bol Bol\bolbo01	PF	20	DEN	7	0	12.4	2	4	0.5	0.6	1.3	0.444	1.4	2.7	0.526	0.571	1.1	1.4	0.8	0.7	2	2.7	0.9	0.3	0.9	1.4	1.6	5.7
51	Jonah Bolden\boldejo01	C	24	TOT	7	0	6.7	0.6	1.6	0.364	0	0.6	0	0.6	1	0.571	0.364	0.3	0.6	0.5	0.4	0.9	1.3	0	0.4	0.3	0.3	1.4	1.4
51	Jonah Bolden\boldejo01	C	24	PHI	4	0	3.5	0.5	0.8	0.667	0	0.3	0	0.5	0.5	1	0.667	0	0.5	0	0	0.3	0.3	0	0.3	0	0.5	1	1
51	Jonah Bolden\boldejo01	C	24	PHO	3	0	11	0.7	2.7	0.25	0	1	0	0.7	1.7	0.4	0.25	0.7	0.7	1	1	1.7	2.7	0	0.7	0.7	0	2	2
52	Marques Bolden\boldema01	C	21	CLE	1	0	3	0	0		0	0		0	0			0	0		0	2	2	0	1	0	0	1	0
53	Jordan Bone\bonejo01	PG	22	DET	10	0	5.3	0.5	2	0.25	0.2	1	0.2	0.3	1	0.3	0.3	0	0		0	0.4	0.4	0.8	0.1	0	0.2	0.6	1.2
54	Isaac Bonga\bongais01	SF	20	WAS	66	49	18.9	1.8	3.5	0.504	0.4	1.1	0.352	1.4	2.5	0.571	0.558	1	1.3	0.812	1.1	2.3	3.4	1.2	0.7	0.3	0.9	2.4	5
55	Devin Booker\bookede01	SG	23	PHO	70	70	35.9	9	18.3	0.489	2	5.7	0.354	6.9	12.6	0.549	0.544	6.7	7.3	0.919	0.4	3.8	4.2	6.5	0.7	0.3	3.8	3	26.6
56	Chris Boucher\bouchch01	C	27	TOR	62	0	13.2	2.3	4.8	0.472	0.6	1.9	0.322	1.7	2.9	0.569	0.535	1.5	1.9	0.784	1.7	2.7	4.5	0.4	0.4	1	0.5	1.8	6.6
57	Brian Bowen\bowenbr02	SF	21	IND	6	1	5.2	0.5	1.7	0.3	0	0.3	0	0.5	1.3	0.375	0.3	0	0		0.2	1	1.2	0	0	0.2	0.2	0.5	1
58	Ky Bowman\bowmaky01	PG	22	GSW	45	12	22.6	3	7.1	0.417	0.7	2.4	0.308	2.2	4.8	0.472	0.469	0.8	0.9	0.829	0.5	2.2	2.7	2.9	1	0.2	1.6	2.3	7.4
59	Avery Bradley\bradlav01	SG	29	LAL	49	44	24.2	3.5	7.8	0.444	1.3	3.5	0.364	2.2	4.3	0.51	0.526	0.4	0.5	0.833	0.4	2	2.3	1.3	0.9	0.1	1	2.2	8.6
60	Tony Bradley\bradlto01	C	22	UTA	58	3	11.4	2.2	3.3	0.667	0.1	0.1	1	2.1	3.2	0.661	0.675	0.5	0.8	0.652	1.9	2.7	4.6	0.4	0.2	0.6	0.5	2	4.9
61	Jarrell Brantley\brantja01	PF	23	UTA	9	0	10.7	1.1	3.1	0.357	0.3	1.4	0.231	0.8	1.7	0.467	0.411	0.1	0.2	0.5	0.2	2	2.2	1.2	0.3	0.6	0.8	0.8	2.7
62	Ignas Brazdeikis\brazdig01	SF	21	NYK	9	0	5.9	0.7	2.4	0.273	0.1	1	0.111	0.6	1.4	0.385	0.295	0.4	0.6	0.8	0.2	0.3	0.6	0.4	0	0.1	0.2	0.3	1.9
63	Corey Brewer\breweco01	PF	33	SAC	5	0	6.6	0.4	0.8	0.5	0	0.2	0	0.4	0.6	0.667	0.5	0.2	0.6	0.333	0.4	1.2	1.6	0.4	0.8	0	0.4	1.4	1
64	Mikal Bridges\bridgmi01	SF	23	PHO	73	32	28	3.4	6.6	0.51	1	2.7	0.361	2.4	4	0.61	0.583	1.4	1.7	0.844	0.9	3.1	4	1.8	1.4	0.6	1	2.2	9.1
65	Miles Bridges\bridgmi02	SF	21	CHO	65	64	30.7	4.9	11.6	0.424	1.5	4.6	0.33	3.4	7	0.486	0.489	1.6	2	0.809	1.4	4.2	5.6	1.8	0.6	0.7	1.5	2	13
66	Oshae Brissett\brissos01	SF	21	TOR	19	0	7.1	0.7	1.9	0.361	0.2	0.8	0.2	0.5	1.1	0.476	0.403	0.4	0.5	0.8	0.5	0.9	1.4	0.4	0.2	0.1	0.4	0.9	1.9
67	Ryan Broekhoff\broekry01	SF	29	DAL	17	1	10.6	1.3	3.5	0.373	1.2	3	0.392	0.1	0.5	0.25	0.542	0.4	0.5	0.875	0.3	2.2	2.5	0.6	0.3	0.2	0.4	0.9	4.2
68	Malcolm Brogdon\brogdma01	PG	27	IND	54	54	30.9	6	13.8	0.438	1.4	4.3	0.326	4.6	9.5	0.488	0.489	3.1	3.4	0.892	0.9	4	4.9	7.1	0.6	0.2	2.4	1.8	16.5
69	Dillon Brooks\brookdi01	SG	24	MEM	73	73	28.9	6	14.6	0.407	2	5.6	0.358	3.9	9	0.438	0.476	2.2	2.8	0.808	0.9	2.4	3.3	2.1	0.9	0.4	1.7	3.8	16.2
70	Bruce Brown\brownbr01	PG	23	DET	58	43	28.2	3.4	7.7	0.443	0.6	1.7	0.344	2.8	6.1	0.47	0.48	1.5	2.1	0.739	1.1	3.7	4.7	4	1.1	0.5	1.7	2.8	8.9
71	Charlie Brown\brownch02	SG	22	ATL	10	0	4	0.6	1.9	0.316	0.3	0.9	0.333	0.3	1	0.3	0.395	0.5	0.5	1	0.2	0.2	0.4	0.2	0.2	0.2	0.3	0.3	2
72	Jaylen Brown\brownja02	SG	23	BOS	57	57	33.9	7.5	15.6	0.481	2.3	5.9	0.382	5.2	9.6	0.543	0.554	3.1	4.3	0.724	1.1	5.3	6.4	2.1	1.1	0.4	2.2	2.9	20.3
73	Moses Brown\brownmo01	C	20	POR	9	0	3.7	0.4	1.1	0.4	0	0		0.4	1.1	0.4	0.4	0.3	0.9	0.375	0.3	1.2	1.6	0.1	0.1	0.1	0.3	0.8	1.2
74	Sterling Brown\brownst02	SF	24	MIL	52	1	14.8	1.8	4.9	0.371	0.8	2.6	0.324	1	2.3	0.425	0.457	0.6	0.8	0.8	0.6	2.9	3.5	1	0.6	0.1	0.8	1	5.1
75	Troy Brown Jr.\browntr01	SF	20	WAS	69	22	25.8	4	9	0.439	0.9	2.6	0.341	3.1	6.4	0.479	0.488	1.6	2	0.784	1.1	4.4	5.6	2.6	1.2	0.1	1.1	1.9	10.4
76	Jalen Brunson\brunsja01	PG	23	DAL	57	16	17.9	3.2	6.8	0.466	0.8	2.1	0.358	2.4	4.7	0.515	0.522	1.1	1.3	0.813	0.4	2	2.4	3.3	0.4	0.1	1.2	1.3	8.2
77	Thomas Bryant\bryanth01	C	22	WAS	46	36	24.9	5.3	9.1	0.581	0.8	2	0.407	4.5	7.1	0.63	0.626	1.9	2.5	0.741	2.1	5.1	7.2	1.8	0.5	1.1	1.2	2.2	13.2
78	Reggie Bullock\bullore01	SG	28	NYK	29	19	23.6	3.1	7.7	0.402	1.3	3.8	0.333	1.8	3.9	0.469	0.484	0.6	0.7	0.81	0.4	1.9	2.3	1.4	0.9	0.1	0.7	1.9	8.1
79	Trey Burke\burketr01	PG	27	TOT	33	1	15.8	2.8	6.3	0.45	1	2.3	0.427	1.9	4.1	0.463	0.526	0.7	0.9	0.793	0.5	1	1.5	2.5	0.5	0.1	0.6	1	7.4
79	Trey Burke\burketr01	PG	27	PHI	25	0	13.2	2.4	5.1	0.465	0.6	1.5	0.421	1.7	3.6	0.483	0.528	0.5	0.7	0.722	0.6	0.8	1.4	2.1	0.3	0	0.5	0.8	5.9
79	Trey Burke\burketr01	PG	27	DAL	8	1	23.9	4.4	10.3	0.427	2	4.6	0.432	2.4	5.6	0.422	0.524	1.3	1.4	0.909	0.1	1.8	1.9	3.8	1.1	0.1	1.1	1.5	12
80	Alec Burks\burksal01	SF-SG	28	TOT	66	19	26.6	4.9	11.6	0.418	1.8	4.6	0.385	3.1	7.1	0.439	0.493	3.6	4	0.887	0.7	3.5	4.3	2.9	0.9	0.3	1.4	1.9	15
80	Alec Burks\burksal01	SF	28	GSW	48	18	29	5.1	12.5	0.406	1.8	4.7	0.375	3.3	7.9	0.424	0.476	4.2	4.7	0.897	0.8	3.9	4.7	3.1	1	0.4	1.6	2.2	16.1
80	Alec Burks\burksal01	SG	28	PHI	18	1	20.2	4.3	9.3	0.461	1.8	4.3	0.416	2.5	5	0.5	0.557	1.9	2.3	0.829	0.6	2.5	3.1	2.1	0.7	0	0.8	1.2	12.2
81	Deonte Burton\burtode02	SF	26	OKC	39	0	9.1	1.1	3.2	0.344	0.3	1.4	0.189	0.8	1.8	0.458	0.384	0.2	0.4	0.571	0.2	1.3	1.5	0.4	0.2	0.3	0.5	0.9	2.7
82	Jimmy Butler\butleji01	SF	30	MIA	58	58	33.8	5.9	13.1	0.455	0.5	2.1	0.244	5.4	11	0.495	0.474	7.6	9.1	0.834	1.8	4.8	6.7	6	1.8	0.6	2.2	1.4	19.9
83	Bruno Caboclo\cabocbr01	C	24	TOT	30	0	8.1	1.3	3	0.427	0.2	1.1	0.182	1.1	1.9	0.571	0.461	0.3	0.3	0.889	0.8	1.2	2	0.4	0.5	0.6	0.4	1	3
83	Bruno Caboclo\cabocbr01	C	24	MEM	22	0	8.7	1.3	3.1	0.406	0.2	1.1	0.16	1.1	2	0.545	0.435	0.1	0.1	0.667	0.8	1.2	2	0.5	0.5	0.5	0.3	1	2.8
83	Bruno Caboclo\cabocbr01	C	24	HOU	8	0	6.5	1.3	2.5	0.5	0.3	1	0.25	1	1.5	0.667	0.55	0.8	0.8	1	0.8	1.3	2	0.3	0.6	0.6	0.8	1	3.5
84	Devontae Cacok\cacokde01	C	23	LAL	1	0	9	3	6	0.5	0	0		3	6	0.5	0.5	0	0		2	3	5	1	0	0	0	0	6
85	Kentavious Caldwell-Pope\caldwke01	SG	26	LAL	69	26	25.5	3.4	7.3	0.467	1.3	3.5	0.385	2.1	3.9	0.541	0.558	1.1	1.5	0.775	0.6	1.5	2.1	1.6	0.8	0.2	0.9	1.9	9.3
86	Vlatko Čančar\cancavl01	PF	22	DEN	14	0	3.2	0.4	1.1	0.4	0.1	0.4	0.167	0.4	0.6	0.556	0.433	0.3	0.3	1	0.4	0.4	0.7	0.2	0.1	0.1	0.2	0.5	1.2
87	Clint Capela\capelca01	C	25	HOU	39	39	32.8	6.3	9.9	0.629	0	0		6.3	9.9	0.629	0.629	1.4	2.7	0.529	4.3	9.5	13.8	1.2	0.8	1.8	1.6	2.6	13.9
88	DeMarre Carroll\carrode01	SF-C	33	TOT	24	0	12.1	1	2.8	0.379	0.3	1.4	0.242	0.7	1.4	0.515	0.439	1.2	1.8	0.69	0.5	1.8	2.3	1	0.3	0.2	0.7	1.3	3.6
88	DeMarre Carroll\carrode01	SF	33	SAS	15	0	9	0.6	1.9	0.31	0.2	0.9	0.231	0.4	1.1	0.375	0.362	0.8	1.3	0.6	0.5	1.6	2.1	0.7	0.1	0.1	0.7	1.3	2.2
88	DeMarre Carroll\carrode01	C	33	HOU	9	0	17.2	1.8	4.1	0.432	0.6	2.2	0.25	1.2	1.9	0.647	0.5	1.9	2.4	0.773	0.6	2.1	2.7	1.6	0.7	0.3	0.8	1.3	6
89	Jevon Carter\carteje01	PG	24	PHO	58	2	16.3	1.7	4.2	0.416	1.1	2.5	0.425	0.7	1.7	0.402	0.543	0.4	0.5	0.852	0.5	1.5	2	1.4	0.8	0.3	0.6	1.5	4.9
90	Vince Carter\cartevi01	PF	43	ATL	60	0	14.6	1.8	5.1	0.352	1	3.4	0.302	0.8	1.7	0.451	0.452	0.4	0.5	0.793	0.3	1.8	2.1	0.8	0.4	0.4	0.6	1.5	5
91	Wendell Carter Jr.\cartewe01	C	20	CHI	43	43	29.2	4.3	8	0.534	0.1	0.7	0.207	4.1	7.3	0.564	0.542	2.6	3.5	0.737	3.2	6.2	9.4	1.2	0.8	0.8	1.7	3.8	11.3
92	Michael Carter-Williams\cartemi01	SG	28	ORL	45	0	18.5	2.5	5.8	0.427	0.5	1.7	0.293	2	4.1	0.481	0.469	1.8	2.1	0.832	1	2.2	3.3	2.4	1.1	0.5	1.2	1.9	7.2
93	Alex Caruso\carusal01	PG	25	LAL	64	2	18.4	1.9	4.5	0.412	0.6	1.9	0.333	1.3	2.7	0.468	0.481	1.1	1.5	0.734	0.3	1.7	1.9	1.9	1.1	0.3	0.8	1.5	5.5
94	Willie Cauley-Stein\caulewi01	C	26	TOT	54	39	20.3	3.2	5.6	0.579	0	0	0	3.2	5.6	0.581	0.579	0.7	1.2	0.606	1.6	4.3	5.8	1.3	0.9	1.1	0.7	2.2	7.2
94	Willie Cauley-Stein\caulewi01	C	26	GSW	41	37	22.9	3.5	6.3	0.56	0	0		3.5	6.3	0.56	0.56	0.9	1.4	0.614	1.7	4.5	6.2	1.5	1.1	1.2	0.9	2.5	7.9
94	Willie Cauley-Stein\caulewi01	C	26	DAL	13	2	12.1	2.4	3.5	0.689	0	0.1	0	2.4	3.4	0.705	0.689	0.4	0.7	0.556	1	3.6	4.6	0.8	0.3	0.8	0.4	1.5	5.2
95	Tyson Chandler\chandty01	C	37	HOU	26	5	8.4	0.5	0.7	0.778	0	0		0.5	0.7	0.778	0.778	0.2	0.5	0.462	1	1.6	2.5	0.2	0.2	0.3	0.3	1.2	1.3
